Integration_ID,Financial_ID,Program_ID,Provider_ID,Funding_ID,Region_ID,Transaction_Date_ID,Budget_Amount,Expenditure_Amount,Utilization_Percent,Grant_Amount,Donations_Received,Fund_Balance,Compliance_Score,Reimbursement_Claims,Claim_Status,Payment_Date,Audit_Flag,Reporting_Period,Financial_Manager,Data_Load_Timestamp,Created_DT,Updated_DT
FIN_002633,FID002633,PGM00130,PROV3486,FUND_2633,REG31,2024-05-16,1169210.02,947229.6,81.01,614154.1,54862.16,221980.42,92.15,171,Approved,2025-10-17,N,2024-05,Catherine Willis,2025-11-19 15:54:45.671213,2024-05-16,2024-10-29
FIN_002634,FID002634,PGM00457,PROV8367,FUND_2634,REG84,2025-01-11,1212263.5,649223.7,53.55,537831.76,60488.5,563039.8,84.25,49,Rejected,2025-01-20,N,2025-01,Carlos Griffin,2025-11-19 15:54:45.671213,2025-01-11,2025-06-10
FIN_002635,FID002635,PGM00245,PROV7271,FUND_2635,REG68,2024-09-13,3567184.13,1895101.86,53.13,1843100.66,241416.29,1672082.27,98.36,174,Rejected,2025-02-07,Y,2024-09,Stephanie Reed,2025-11-19 15:54:45.671213,2024-09-13,2025-03-06
FIN_002636,FID002636,PGM00389,PROV1542,FUND_2636,REG61,2025-01-16,1290295.63,732929.44,56.8,360626.48,38684.45,557366.19,99.32,165,Rejected,2025-03-19,N,2025-01,Lisa Bradshaw,2025-11-19 15:54:45.671213,2025-01-16,2025-08-09
FIN_002637,FID002637,PGM00186,PROV9177,FUND_2637,REG79,2025-07-23,244668.1,219763.9,89.82,42722.54,19737.03,24904.2,83.8,35,Pending,2025-07-24,Y,2025-07,Diana King,2025-11-19 15:54:45.671213,2025-07-23,2026-03-14
FIN_002638,FID002638,PGM00119,PROV8795,FUND_2638,REG44,2025-10-03,2296447.6,2017303.94,87.84,1726239.19,144627.05,279143.66,70.91,39,Pending,2025-10-10,N,2025-10,Phillip Krueger,2025-11-19 15:54:45.671213,2025-10-03,2025-10-04
FIN_002639,FID002639,PGM00076,PROV6681,FUND_2639,REG29,2024-07-18,1559016.59,863192.05,55.37,795842.15,48944.1,695824.54,72.87,110,Rejected,2025-11-15,N,2024-07,Laura George,2025-11-19 15:54:45.671213,2024-07-18,2024-12-26
FIN_002640,FID002640,PGM00218,PROV8818,FUND_2640,REG10,2024-06-19,3914362.79,3406959.62,87.04,1988940.36,166648.0,507403.17,95.3,152,Approved,2024-11-30,N,2024-06,Megan Pearson,2025-11-19 15:54:45.671213,2024-06-19,2024-07-13
FIN_002641,FID002641,PGM00471,PROV6274,FUND_2641,REG82,2025-09-22,3870865.56,3623682.67,93.61,497641.61,122080.16,247182.89,82.67,67,Rejected,2025-10-03,N,2025-09,Kristin Shepherd,2025-11-19 15:54:45.671213,2025-09-22,2025-10-28
FIN_002642,FID002642,PGM00467,PROV9520,FUND_2642,REG65,2025-04-02,4388489.99,2510045.78,57.2,2523091.3,388277.75,1878444.21,91.02,34,Rejected,2025-06-03,N,2025-04,Jacob Hammond,2025-11-19 15:54:45.671213,2025-04-02,2026-03-02
FIN_002643,FID002643,PGM00071,PROV7758,FUND_2643,REG34,2024-04-06,4368102.2,3548442.99,81.24,2992229.58,131085.99,819659.21,87.34,186,Approved,2024-09-12,N,2024-04,Anna Smith,2025-11-19 15:54:45.671213,2024-04-06,2024-08-12
FIN_002644,FID002644,PGM00273,PROV1726,FUND_2644,REG59,2025-01-26,421679.21,386255.05,91.6,112397.79,4466.79,35424.16,95.92,47,Rejected,2025-08-14,Y,2025-01,Madison Hunt,2025-11-19 15:54:45.671213,2025-01-26,2025-12-17
FIN_002645,FID002645,PGM00436,PROV4132,FUND_2645,REG87,2024-06-26,1036290.74,598875.16,57.79,791385.4,71805.58,437415.58,87.05,119,Approved,2024-07-12,N,2024-06,Jason Clayton,2025-11-19 15:54:45.671213,2024-06-26,2024-11-03
FIN_002646,FID002646,PGM00346,PROV2325,FUND_2646,REG75,2024-04-09,2599645.34,1317904.22,50.7,1368794.61,122414.29,1281741.12,96.37,72,Pending,2024-06-24,N,2024-04,Emily Small,2025-11-19 15:54:45.671213,2024-04-09,2024-07-28
FIN_002647,FID002647,PGM00491,PROV1218,FUND_2647,REG71,2024-10-09,4486738.47,4034115.73,89.91,3139698.01,171454.0,452622.74,76.46,168,Approved,2025-01-17,N,2024-10,Carlos Thomas,2025-11-19 15:54:45.671213,2024-10-09,2025-02-21
FIN_002648,FID002648,PGM00426,PROV3165,FUND_2648,REG24,2025-08-06,1078517.35,813246.55,75.4,234999.23,31806.87,265270.8,96.9,165,Pending,2025-09-10,N,2025-08,Christopher Williams,2025-11-19 15:54:45.671213,2025-08-06,2025-10-31
FIN_002649,FID002649,PGM00098,PROV4129,FUND_2649,REG82,2025-10-16,1684676.93,912334.52,54.15,316602.75,124147.82,772342.41,74.74,141,Rejected,2025-11-12,Y,2025-10,Jason Jennings,2025-11-19 15:54:45.671213,2025-10-16,2026-07-25
FIN_002650,FID002650,PGM00380,PROV8570,FUND_2650,REG99,2025-08-25,2846452.9,2354125.32,82.7,329323.86,219712.18,492327.58,95.39,134,Rejected,2025-08-29,Y,2025-08,Brooke Martin,2025-11-19 15:54:45.671213,2025-08-25,2026-02-05
FIN_002651,FID002651,PGM00092,PROV1060,FUND_2651,REG39,2024-06-28,2548111.65,2473902.67,97.09,1501012.96,177078.93,74208.98,76.94,196,Pending,2024-09-16,N,2024-06,Donald Morales,2025-11-19 15:54:45.671213,2024-06-28,2024-10-09
FIN_002652,FID002652,PGM00077,PROV6367,FUND_2652,REG81,2025-02-12,2201080.32,1352244.21,61.44,1067120.09,137469.93,848836.11,86.6,145,Rejected,2025-03-07,N,2025-02,Brenda Castro,2025-11-19 15:54:45.671213,2025-02-12,2025-05-06
FIN_002653,FID002653,PGM00104,PROV4133,FUND_2653,REG81,2025-03-18,305514.24,246248.38,80.6,63651.15,14496.61,59265.86,94.46,119,Approved,2025-07-07,Y,2025-03,Troy Baxter,2025-11-19 15:54:45.671213,2025-03-18,2026-02-27
FIN_002654,FID002654,PGM00343,PROV3799,FUND_2654,REG81,2024-07-30,931685.1,515610.3,55.34,572236.23,73087.86,416074.8,91.08,144,Pending,2025-03-21,Y,2024-07,Annette Lee,2025-11-19 15:54:45.671213,2024-07-30,2024-10-12
FIN_002655,FID002655,PGM00049,PROV1035,FUND_2655,REG97,2025-03-22,1102695.27,1015735.55,92.11,806124.79,99525.19,86959.72,86.08,146,Approved,2025-09-07,N,2025-03,George Watson,2025-11-19 15:54:45.671213,2025-03-22,2025-05-03
FIN_002656,FID002656,PGM00075,PROV7612,FUND_2656,REG17,2024-11-18,64643.6,33114.44,51.23,27059.59,1103.1,31529.16,89.45,98,Rejected,2025-08-27,N,2024-11,David Glenn,2025-11-19 15:54:45.671213,2024-11-18,2025-04-24
FIN_002657,FID002657,PGM00043,PROV1223,FUND_2657,REG79,2024-01-16,2425794.36,1455538.32,60.0,352537.01,124688.28,970256.04,84.08,160,Approved,2024-06-02,N,2024-01,Ashley Cook,2025-11-19 15:54:45.671213,2024-01-16,2024-11-08
FIN_002658,FID002658,PGM00382,PROV3532,FUND_2658,REG29,2025-04-29,4055545.5,4008309.52,98.84,2481722.27,72952.83,47235.98,76.68,157,Rejected,2025-05-08,N,2025-04,Sheri Ryan,2025-11-19 15:54:45.671213,2025-04-29,2026-01-12
FIN_002659,FID002659,PGM00114,PROV2049,FUND_2659,REG49,2024-06-08,4000849.82,2332219.3,58.29,2216492.9,200317.39,1668630.52,81.63,2,Rejected,2024-12-05,N,2024-06,Sara Mills,2025-11-19 15:54:45.671213,2024-06-08,2025-01-09
FIN_002660,FID002660,PGM00333,PROV8790,FUND_2660,REG44,2025-06-29,440471.91,405048.71,91.96,327248.77,39720.58,35423.2,97.66,24,Pending,2025-08-02,N,2025-06,Kimberly Garcia,2025-11-19 15:54:45.671213,2025-06-29,2025-08-06
FIN_002661,FID002661,PGM00047,PROV8504,FUND_2661,REG80,2024-09-08,2533835.62,1507815.56,59.51,1163639.81,211736.59,1026020.06,87.5,21,Approved,2025-10-14,Y,2024-09,Mary Martin,2025-11-19 15:54:45.671213,2024-09-08,2024-12-13
FIN_002662,FID002662,PGM00426,PROV5611,FUND_2662,REG86,2024-01-19,3599523.41,2049097.5,56.93,2181834.36,63663.09,1550425.91,72.46,186,Approved,2024-04-26,Y,2024-01,Jacob Sanders,2025-11-19 15:54:45.671213,2024-01-19,2024-08-01
FIN_002663,FID002663,PGM00074,PROV5744,FUND_2663,REG47,2025-07-09,2096165.25,1960605.14,93.53,1497755.35,102163.04,135560.11,74.41,133,Pending,2025-07-19,N,2025-07,Timothy Boyer,2025-11-19 15:54:45.671213,2025-07-09,2026-01-16
FIN_002664,FID002664,PGM00476,PROV3084,FUND_2664,REG30,2024-04-13,4877146.01,3116216.56,63.89,738335.85,350437.82,1760929.45,86.6,122,Approved,2025-04-15,Y,2024-04,Chad Garrett,2025-11-19 15:54:45.671213,2024-04-13,2024-08-16
FIN_002665,FID002665,PGM00061,PROV9257,FUND_2665,REG10,2025-09-19,2186555.41,1496397.89,68.44,246705.1,103220.76,690157.52,70.03,167,Rejected,2025-10-08,N,2025-09,John Bowman,2025-11-19 15:54:45.671213,2025-09-19,2026-05-24
FIN_002666,FID002666,PGM00130,PROV6946,FUND_2666,REG36,2025-09-17,1567228.68,1147105.4,73.19,677895.63,147090.57,420123.28,90.33,88,Approved,2025-10-19,Y,2025-09,Jenny Gibson,2025-11-19 15:54:45.671213,2025-09-17,2026-04-13
FIN_002667,FID002667,PGM00061,PROV5599,FUND_2667,REG75,2024-11-23,1623324.28,1461196.03,90.01,515074.19,117256.52,162128.25,79.51,194,Approved,2025-01-27,Y,2024-11,Kevin Rangel,2025-11-19 15:54:45.671213,2024-11-23,2025-06-02
FIN_002668,FID002668,PGM00230,PROV8169,FUND_2668,REG77,2025-08-10,160345.09,110464.91,68.89,111312.65,11402.4,49880.18,86.97,130,Rejected,2025-08-22,N,2025-08,Tiffany Mathews,2025-11-19 15:54:45.671213,2025-08-10,2026-04-17
FIN_002669,FID002669,PGM00291,PROV2365,FUND_2669,REG80,2024-11-29,3237723.58,1981304.5,61.19,1337833.88,261565.88,1256419.08,74.18,105,Rejected,2025-04-01,N,2024-11,Joseph Walls,2025-11-19 15:54:45.671213,2024-11-29,2025-01-13
FIN_002670,FID002670,PGM00067,PROV8396,FUND_2670,REG41,2024-12-07,3665038.42,2992483.15,81.65,442512.67,63649.56,672555.27,89.92,86,Approved,2024-12-15,Y,2024-12,Angel Villarreal,2025-11-19 15:54:45.671213,2024-12-07,2025-06-25
FIN_002671,FID002671,PGM00024,PROV4754,FUND_2671,REG38,2024-05-10,4528836.33,3575831.01,78.96,2240498.6,45598.99,953005.32,78.23,57,Pending,2025-08-18,N,2024-05,Karla Shelton,2025-11-19 15:54:45.671213,2024-05-10,2024-12-22
FIN_002672,FID002672,PGM00216,PROV6800,FUND_2672,REG49,2024-05-27,632336.93,536942.47,84.91,328237.77,50479.96,95394.46,75.83,39,Approved,2025-04-07,N,2024-05,Lisa Nelson,2025-11-19 15:54:45.671213,2024-05-27,2024-08-28
FIN_002673,FID002673,PGM00003,PROV5280,FUND_2673,REG42,2025-06-01,4756135.69,3390450.69,71.29,2348858.58,58175.57,1365685.0,90.12,30,Rejected,2025-09-17,Y,2025-06,Angela Hart,2025-11-19 15:54:45.671213,2025-06-01,2025-09-25
FIN_002674,FID002674,PGM00246,PROV4261,FUND_2674,REG29,2025-01-19,3674920.47,2972648.68,80.89,837299.69,327007.54,702271.79,82.62,106,Rejected,2025-04-27,Y,2025-01,Michael Cowan,2025-11-19 15:54:45.671213,2025-01-19,2025-07-02
FIN_002675,FID002675,PGM00074,PROV6674,FUND_2675,REG65,2025-04-05,3515222.36,1916733.97,54.53,2520983.5,94142.54,1598488.39,85.86,143,Rejected,2025-09-05,Y,2025-04,Emily Guzman,2025-11-19 15:54:45.671213,2025-04-05,2026-01-04
FIN_002676,FID002676,PGM00499,PROV2278,FUND_2676,REG71,2024-03-27,634200.88,432581.47,68.21,162229.02,46839.13,201619.41,91.3,86,Approved,2024-09-30,Y,2024-03,Jennifer Morris,2025-11-19 15:54:45.671213,2024-03-27,2024-04-29
FIN_002677,FID002677,PGM00094,PROV1265,FUND_2677,REG32,2024-07-01,746298.65,450162.24,60.32,431417.8,26275.89,296136.41,70.19,36,Pending,2025-02-15,N,2024-07,Kristine Brown,2025-11-19 15:54:45.671213,2024-07-01,2025-03-26
FIN_002678,FID002678,PGM00108,PROV8225,FUND_2678,REG49,2025-10-19,847365.35,819526.17,96.71,237930.27,25692.57,27839.18,81.97,135,Approved,2025-11-07,N,2025-10,Julie Manning,2025-11-19 15:54:45.679313,2025-10-19,2026-03-26
FIN_002679,FID002679,PGM00483,PROV4094,FUND_2679,REG10,2025-01-03,3427399.02,2206874.32,64.39,1757782.56,58205.52,1220524.7,83.59,195,Approved,2025-10-01,N,2025-01,Lisa Kerr,2025-11-19 15:54:45.679313,2025-01-03,2025-09-07
FIN_002680,FID002680,PGM00217,PROV4145,FUND_2680,REG13,2024-01-19,4259073.45,3738016.44,87.77,2296107.95,341530.53,521057.01,87.91,193,Approved,2024-02-18,Y,2024-01,Andrew Harris,2025-11-19 15:54:45.679313,2024-01-19,2024-06-10
FIN_002681,FID002681,PGM00400,PROV6696,FUND_2681,REG92,2024-07-02,360893.95,330322.36,91.53,196077.82,24334.63,30571.59,91.09,153,Rejected,2024-07-05,N,2024-07,Richard Taylor,2025-11-19 15:54:45.679313,2024-07-02,2024-08-05
FIN_002682,FID002682,PGM00454,PROV4519,FUND_2682,REG22,2024-05-17,2898665.02,1502566.69,51.84,1641714.97,195662.29,1396098.33,81.84,122,Pending,2024-11-12,Y,2024-05,Angel Hutchinson,2025-11-19 15:54:45.679313,2024-05-17,2025-02-24
FIN_002683,FID002683,PGM00483,PROV3143,FUND_2683,REG26,2024-09-15,290278.69,229628.02,79.11,163726.89,4967.18,60650.67,97.86,194,Approved,2024-11-21,Y,2024-09,Monique Williams,2025-11-19 15:54:45.679313,2024-09-15,2024-10-20
FIN_002684,FID002684,PGM00485,PROV5386,FUND_2684,REG47,2024-03-25,2128470.84,2008443.26,94.36,306965.95,70733.93,120027.58,88.97,135,Pending,2024-11-12,N,2024-03,Brian Noble,2025-11-19 15:54:45.679313,2024-03-25,2024-07-31
FIN_002685,FID002685,PGM00091,PROV6898,FUND_2685,REG27,2024-02-09,4507719.96,4478748.03,99.36,2272595.29,364443.7,28971.93,95.84,141,Approved,2024-04-04,N,2024-02,Nicholas Allen,2025-11-19 15:54:45.679313,2024-02-09,2024-07-07
FIN_002686,FID002686,PGM00191,PROV9482,FUND_2686,REG11,2024-12-23,2717255.46,1921190.77,70.7,2032288.87,77269.55,796064.69,74.65,59,Pending,2025-06-09,Y,2024-12,Jennifer Ramirez,2025-11-19 15:54:45.679313,2024-12-23,2025-06-19
FIN_002687,FID002687,PGM00284,PROV6758,FUND_2687,REG70,2024-03-18,1898864.89,1615122.04,85.06,1083887.85,56728.15,283742.85,84.36,90,Rejected,2025-02-27,Y,2024-03,William Lowe,2025-11-19 15:54:45.679313,2024-03-18,2024-05-11
FIN_002688,FID002688,PGM00316,PROV5683,FUND_2688,REG24,2025-06-13,1272320.98,1174268.19,92.29,954302.73,85811.07,98052.79,96.69,84,Rejected,2025-11-02,Y,2025-06,Stephen Marshall,2025-11-19 15:54:45.679313,2025-06-13,2026-05-18
FIN_002689,FID002689,PGM00165,PROV7073,FUND_2689,REG62,2024-02-25,3692110.2,2556799.56,69.25,1855250.29,315647.42,1135310.64,85.92,121,Approved,2025-05-14,Y,2024-02,Devin Marsh,2025-11-19 15:54:45.679313,2024-02-25,2024-07-01
FIN_002690,FID002690,PGM00187,PROV5625,FUND_2690,REG73,2025-01-16,3720640.93,3108324.98,83.54,2371091.53,301114.6,612315.95,97.87,123,Pending,2025-07-25,N,2025-01,Veronica Yang,2025-11-19 15:54:45.679313,2025-01-16,2025-06-03
FIN_002691,FID002691,PGM00500,PROV2726,FUND_2691,REG81,2024-02-21,4246038.17,3599359.65,84.77,2751420.83,120169.73,646678.52,86.92,120,Rejected,2024-08-04,N,2024-02,Cameron Serrano,2025-11-19 15:54:45.679313,2024-02-21,2024-04-26
FIN_002692,FID002692,PGM00022,PROV8845,FUND_2692,REG38,2025-04-22,77779.62,77413.43,99.53,14304.7,4786.44,366.19,78.13,34,Pending,2025-05-09,Y,2025-04,Katherine Hanna,2025-11-19 15:54:45.681413,2025-04-22,2025-10-07
FIN_002693,FID002693,PGM00278,PROV8731,FUND_2693,REG90,2023-12-23,2745128.16,2499969.95,91.07,1652221.22,198673.02,245158.21,77.84,168,Pending,2024-08-01,Y,2023-12,Veronica Ray,2025-11-19 15:54:45.681413,2023-12-23,2024-04-30
FIN_002694,FID002694,PGM00178,PROV6537,FUND_2694,REG29,2025-06-05,1031220.65,942146.43,91.36,209698.98,19007.54,89074.22,83.26,18,Approved,2025-06-06,Y,2025-06,Terrence Krueger,2025-11-19 15:54:45.681413,2025-06-05,2025-08-13
FIN_002695,FID002695,PGM00276,PROV3203,FUND_2695,REG18,2024-10-15,2270841.93,2129896.34,93.79,1438670.32,31904.12,140945.59,76.21,193,Pending,2025-03-27,Y,2024-10,Christopher Porter,2025-11-19 15:54:45.681413,2024-10-15,2025-07-29
FIN_002696,FID002696,PGM00216,PROV6895,FUND_2696,REG85,2024-09-12,2787462.39,2315140.44,83.06,1961409.39,189657.58,472321.95,86.69,1,Rejected,2025-09-17,Y,2024-09,Dawn Thomas DVM,2025-11-19 15:54:45.681413,2024-09-12,2025-03-16
FIN_002697,FID002697,PGM00301,PROV2002,FUND_2697,REG94,2024-11-02,622806.32,434760.24,69.81,160801.43,52914.8,188046.08,70.51,35,Pending,2024-12-07,N,2024-11,Jessica Davis,2025-11-19 15:54:45.681413,2024-11-02,2025-05-07
FIN_002698,FID002698,PGM00237,PROV9841,FUND_2698,REG84,2025-08-23,2338947.18,1681336.92,71.88,730997.68,164436.21,657610.26,99.19,12,Approved,2025-08-28,Y,2025-08,Thomas Krause,2025-11-19 15:54:45.681413,2025-08-23,2025-10-05
FIN_002699,FID002699,PGM00297,PROV8659,FUND_2699,REG48,2024-11-04,785067.57,658261.81,83.85,422727.36,50747.37,126805.76,93.14,144,Pending,2025-03-29,N,2024-11,Jake Smith,2025-11-19 15:54:45.681413,2024-11-04,2025-10-12
FIN_002700,FID002700,PGM00161,PROV3324,FUND_2700,REG24,2024-02-02,3979985.07,2610132.16,65.58,1728742.16,157960.02,1369852.91,92.28,179,Rejected,2025-08-16,Y,2024-02,Andrew Price,2025-11-19 15:54:45.681413,2024-02-02,2024-02-06
FIN_002701,FID002701,PGM00157,PROV6220,FUND_2701,REG95,2025-05-15,536328.86,441122.2,82.25,185825.56,6695.82,95206.66,86.74,77,Pending,2025-09-26,N,2025-05,Hannah Santana,2025-11-19 15:54:45.681413,2025-05-15,2026-02-13
FIN_002702,FID002702,PGM00402,PROV3064,FUND_2702,REG78,2025-04-21,449477.11,265579.44,59.09,82129.3,23915.17,183897.67,83.53,72,Approved,2025-06-05,N,2025-04,Miguel Vazquez,2025-11-19 15:54:45.681413,2025-04-21,2025-10-18
FIN_002703,FID002703,PGM00424,PROV2160,FUND_2703,REG98,2025-07-19,265580.45,178213.33,67.1,131403.61,18853.28,87367.12,79.75,47,Approved,2025-11-07,N,2025-07,Allison Perry MD,2025-11-19 15:54:45.681413,2025-07-19,2025-10-22
FIN_002704,FID002704,PGM00140,PROV4697,FUND_2704,REG94,2025-11-15,1849763.43,1460903.01,78.98,635920.57,88268.86,388860.42,97.78,54,Approved,2025-11-15,Y,2025-11,Richard Crawford,2025-11-19 15:54:45.681413,2025-11-15,2026-09-19
FIN_002705,FID002705,PGM00476,PROV2855,FUND_2705,REG10,2024-06-19,2603134.19,1914048.27,73.53,1020038.22,56607.33,689085.92,82.83,187,Approved,2025-04-10,N,2024-06,Michael Nelson,2025-11-19 15:54:45.681413,2024-06-19,2025-02-14
FIN_002706,FID002706,PGM00414,PROV6299,FUND_2706,REG51,2025-03-01,3040133.73,2425855.71,79.79,1014853.68,213102.11,614278.02,77.54,32,Approved,2025-06-24,N,2025-03,Christopher Wolf MD,2025-11-19 15:54:45.681413,2025-03-01,2025-11-22
FIN_002707,FID002707,PGM00277,PROV9312,FUND_2707,REG51,2025-07-31,2419392.42,2031916.09,83.98,370807.03,57163.65,387476.33,75.97,70,Approved,2025-09-24,Y,2025-07,Paul Young,2025-11-19 15:54:45.681413,2025-07-31,2026-05-03
FIN_002708,FID002708,PGM00044,PROV1707,FUND_2708,REG44,2024-03-21,4343327.48,3748007.4,86.29,3182687.92,59051.22,595320.08,93.91,189,Approved,2024-12-28,Y,2024-03,Brittany Fisher,2025-11-19 15:54:45.681413,2024-03-21,2024-07-11
FIN_002709,FID002709,PGM00256,PROV4446,FUND_2709,REG47,2024-12-20,3263956.48,2887842.81,88.48,1934581.62,145231.39,376113.67,73.74,42,Pending,2025-06-13,N,2024-12,Madison Butler,2025-11-19 15:54:45.681413,2024-12-20,2025-08-10
FIN_002710,FID002710,PGM00368,PROV7824,FUND_2710,REG52,2024-04-19,2764294.95,1529621.92,55.33,793448.1,218145.22,1234673.03,78.53,84,Pending,2024-04-22,N,2024-04,Lisa Mills,2025-11-19 15:54:45.681413,2024-04-19,2024-06-03
FIN_002711,FID002711,PGM00340,PROV9992,FUND_2711,REG11,2024-01-04,3100205.03,1949167.2,62.87,861405.34,191573.77,1151037.83,98.18,17,Pending,2025-07-24,Y,2024-01,Daniel Caldwell,2025-11-19 15:54:45.681413,2024-01-04,2024-05-27
FIN_002712,FID002712,PGM00107,PROV8080,FUND_2712,REG36,2024-08-11,1993532.55,1726120.87,86.59,602776.26,47424.5,267411.68,97.49,159,Pending,2025-03-29,N,2024-08,Danielle Wallace,2025-11-19 15:54:45.681413,2024-08-11,2025-03-03
FIN_002713,FID002713,PGM00467,PROV7284,FUND_2713,REG75,2025-06-22,2875674.79,2656807.0,92.39,1223151.85,153031.59,218867.79,93.9,14,Pending,2025-11-04,N,2025-06,Steven Downs,2025-11-19 15:54:45.681413,2025-06-22,2025-09-29
FIN_002714,FID002714,PGM00470,PROV4283,FUND_2714,REG47,2025-03-21,2101666.67,1167399.61,55.55,497247.78,31452.46,934267.06,99.43,70,Pending,2025-07-06,Y,2025-03,Robert King,2025-11-19 15:54:45.681413,2025-03-21,2025-10-08
FIN_002715,FID002715,PGM00015,PROV8358,FUND_2715,REG27,2025-10-15,1111506.87,777277.33,69.93,585976.22,50556.28,334229.54,99.96,18,Pending,2025-10-22,Y,2025-10,William Bryant,2025-11-19 15:54:45.681413,2025-10-15,2025-12-25
FIN_002716,FID002716,PGM00176,PROV1824,FUND_2716,REG44,2025-07-25,2822536.99,1940383.47,68.75,822300.58,141540.53,882153.52,79.04,131,Approved,2025-08-14,N,2025-07,Arthur Parker,2025-11-19 15:54:45.681413,2025-07-25,2025-08-18
FIN_002717,FID002717,PGM00303,PROV9249,FUND_2717,REG72,2024-08-15,2795982.54,1658874.52,59.33,569011.92,141448.25,1137108.02,73.43,75,Pending,2024-11-20,N,2024-08,Angela Potter,2025-11-19 15:54:45.681413,2024-08-15,2025-02-14
FIN_002718,FID002718,PGM00391,PROV2070,FUND_2718,REG64,2024-08-08,1298100.85,819119.97,63.1,506931.83,75050.14,478980.88,83.81,176,Pending,2025-08-20,N,2024-08,Ann Alexander,2025-11-19 15:54:45.681413,2024-08-08,2025-06-23
FIN_002719,FID002719,PGM00181,PROV7148,FUND_2719,REG18,2024-11-23,174597.17,93173.45,53.36,86936.9,6338.15,81423.72,82.5,141,Approved,2025-03-07,Y,2024-11,Ryan Wilson,2025-11-19 15:54:45.681413,2024-11-23,2025-10-31
FIN_002720,FID002720,PGM00072,PROV7934,FUND_2720,REG11,2024-07-04,3018844.0,2703356.3,89.55,1115887.72,38339.1,315487.7,72.6,28,Pending,2024-09-04,N,2024-07,Megan Horne,2025-11-19 15:54:45.681413,2024-07-04,2025-04-01
FIN_002721,FID002721,PGM00303,PROV6284,FUND_2721,REG34,2024-10-09,3644479.13,3426367.35,94.02,1005915.89,38404.72,218111.78,91.83,68,Pending,2025-03-10,N,2024-10,Diane Quinn,2025-11-19 15:54:45.681413,2024-10-09,2025-08-02
FIN_002722,FID002722,PGM00282,PROV5961,FUND_2722,REG13,2024-11-20,2317073.57,1832124.42,79.07,926339.78,148068.94,484949.15,96.76,109,Approved,2024-12-16,N,2024-11,Donald Powell,2025-11-19 15:54:45.681413,2024-11-20,2025-08-02
FIN_002723,FID002723,PGM00438,PROV3052,FUND_2723,REG28,2024-08-15,794806.54,513275.54,64.58,551113.34,35702.97,281531.0,83.14,161,Pending,2024-09-24,N,2024-08,Kayla Patterson,2025-11-19 15:54:45.681413,2024-08-15,2025-02-02
FIN_002724,FID002724,PGM00332,PROV9620,FUND_2724,REG90,2024-12-31,2439518.36,1357915.76,55.66,293090.81,239254.26,1081602.6,97.37,189,Approved,2025-04-14,Y,2024-12,Courtney Wood,2025-11-19 15:54:45.681413,2024-12-31,2025-05-26
FIN_002725,FID002725,PGM00362,PROV1415,FUND_2725,REG70,2024-04-05,783360.86,430531.1,54.96,87632.26,67450.01,352829.76,91.05,20,Rejected,2025-03-23,N,2024-04,Bernard Mullen,2025-11-19 15:54:45.681413,2024-04-05,2024-08-23
FIN_002726,FID002726,PGM00247,PROV3433,FUND_2726,REG71,2025-09-15,311129.57,271096.04,87.13,140984.76,17120.39,40033.53,75.58,16,Pending,2025-09-22,N,2025-09,Justin Moses,2025-11-19 15:54:45.681413,2025-09-15,2026-03-21
FIN_002727,FID002727,PGM00327,PROV9280,FUND_2727,REG77,2024-12-10,4113091.43,3761962.16,91.46,1594951.96,61834.76,351129.27,76.24,134,Approved,2025-08-01,N,2024-12,Anthony Neal,2025-11-19 15:54:45.681413,2024-12-10,2025-10-17
FIN_002728,FID002728,PGM00409,PROV6469,FUND_2728,REG46,2024-03-08,2195420.91,1556300.45,70.89,1151453.31,174771.7,639120.46,77.84,125,Pending,2024-10-17,Y,2024-03,Kim Russell,2025-11-19 15:54:45.681413,2024-03-08,2024-08-31
FIN_002729,FID002729,PGM00315,PROV6601,FUND_2729,REG44,2025-08-21,1658415.95,1051355.06,63.4,862990.59,55794.58,607060.89,94.38,102,Rejected,2025-10-11,N,2025-08,Melissa Williams,2025-11-19 15:54:45.681413,2025-08-21,2026-02-01
FIN_002730,FID002730,PGM00390,PROV5169,FUND_2730,REG72,2025-06-09,1367658.98,1021836.19,74.71,287644.15,57590.88,345822.79,96.25,125,Approved,2025-06-15,Y,2025-06,David Moore,2025-11-19 15:54:45.681413,2025-06-09,2025-06-26
FIN_002731,FID002731,PGM00297,PROV9324,FUND_2731,REG70,2024-06-07,3421505.12,2322810.33,67.89,1346138.29,240702.08,1098694.79,93.49,165,Rejected,2025-07-18,Y,2024-06,Kristin Livingston,2025-11-19 15:54:45.681413,2024-06-07,2025-04-29
FIN_002732,FID002732,PGM00341,PROV3097,FUND_2732,REG34,2024-02-25,1599947.84,988730.74,61.8,758740.19,62850.58,611217.1,70.71,131,Approved,2025-08-31,N,2024-02,Linda Ball,2025-11-19 15:54:45.681413,2024-02-25,2024-04-03
FIN_002733,FID002733,PGM00375,PROV6899,FUND_2733,REG20,2024-02-06,1120165.71,636343.38,56.81,314767.92,16146.19,483822.33,91.8,147,Pending,2025-08-26,N,2024-02,Brian Herring,2025-11-19 15:54:45.681413,2024-02-06,2024-03-05
