assignment_id,employee_id,family_id,assigned_date,status,remarks,TRS_Rating_Score,TRS_Level,Assessment_Score,Mentor_Visits,Staff_Training_Count,Provider_Capacity,Capacity_Utilization_Percent,Provider_Type,Active_Children_Count,Complaints_Received,Corrective_Actions_Taken,Assessment_Status,Next_Assessment_Date,Data_Refresh_Timestamp
ASG_001192,EMP_000508,FAM_000626,2022-02-01,Escalated,Generation second behind marriage house on travel style kind woman.,1.82,Level 4,18.03,6,15,73,16.12,School,102,1,1,Scheduled,2026-04-13,2025-11-14 15:16:57.525726
ASG_001193,EMP_000513,FAM_000966,2020-02-18,Escalated,Short their suggest sort young indeed authority short series consider.,3.22,Level 4,97.97,4,19,104,75.91,Home,206,6,5,Scheduled,2026-03-17,2025-11-14 15:16:57.525726
ASG_001194,EMP_000289,FAM_000855,2021-07-28,Completed,Career generation contain suddenly gas able indeed join.,1.72,Level 4,72.03,9,20,91,13.67,Home,24,0,5,Pending Review,2027-04-12,2025-11-14 15:16:57.525726
ASG_001195,EMP_000589,FAM_002257,2016-08-26,Escalated,Determine dog evidence thank fast effort significant start do.,2.34,Level 2,46.26,6,13,166,49.22,Home,222,11,2,Scheduled,2026-03-07,2025-11-14 15:16:57.525726
ASG_001196,EMP_000529,FAM_000098,2025-07-06,Completed,Short administration boy term relate whole fill century range.,3.31,Level 2,21.12,0,13,48,105.22,School,104,10,4,Completed,2027-01-09,2025-11-14 15:16:57.525726
ASG_001197,EMP_001012,FAM_002972,2018-05-15,Escalated,More represent financial question art area.,4.29,Level 4,6.8,10,7,222,114.14,Home,162,2,3,Scheduled,2026-05-19,2025-11-14 15:16:57.525726
ASG_001198,EMP_000729,FAM_001486,2020-03-11,Assigned,Fish check company day their radio your impact church happy.,1.35,Level 4,61.25,4,12,245,47.57,Home,243,14,1,Pending Review,2026-12-03,2025-11-14 15:16:57.525726
ASG_001199,EMP_001470,FAM_001025,2017-08-22,Escalated,Need eye appear bad evidence.,2.36,Level 1,47.59,6,12,290,106.77,School,73,10,2,Pending Review,2027-11-08,2025-11-14 15:16:57.525726
ASG_001200,EMP_001056,FAM_001891,2019-03-23,Assigned,Agent see easy three look live.,4.65,Level 2,99.68,6,15,10,90.34,School,209,14,5,Scheduled,2027-04-26,2025-11-14 15:16:57.525726
ASG_001201,EMP_000749,FAM_000064,2023-08-19,Closed,Within pass offer machine other.,2.22,Level 2,11.3,10,16,283,66.75,Home,215,1,4,Completed,2027-01-25,2025-11-14 15:16:57.525726
ASG_001202,EMP_000129,FAM_002836,2016-10-15,Escalated,Very probably use give for.,4.29,Level 2,68.19,3,20,156,42.51,Center,87,2,2,Completed,2027-08-06,2025-11-14 15:16:57.525726
ASG_001203,EMP_001014,FAM_000354,2022-09-15,Completed,Around morning inside summer six simply around often natural.,4.19,Level 1,41.51,7,1,48,117.52,School,37,8,5,Completed,2026-11-04,2025-11-14 15:16:57.525726
ASG_001204,EMP_000790,FAM_002625,2021-10-20,Escalated,Such coach anyone exist include officer forward nearly interesting bank.,1.08,Level 4,13.18,5,6,209,42.62,Center,56,3,1,Pending Review,2026-08-27,2025-11-14 15:16:57.525726
ASG_001205,EMP_001472,FAM_000252,2017-10-03,Assigned,Information middle I performance strategy.,4.17,Level 1,66.43,7,10,82,115.28,Home,81,17,1,Completed,2026-03-25,2025-11-14 15:16:57.525726
ASG_001206,EMP_001211,FAM_000991,2018-07-09,Escalated,Above direction indicate expect should natural participant.,2.38,Level 2,69.84,9,10,149,67.87,Home,231,5,3,Completed,2026-01-13,2025-11-14 15:16:57.525726
ASG_001207,EMP_001173,FAM_002169,2024-05-26,Completed,One stage letter forget field thought machine here free.,2.43,Level 3,27.85,6,18,18,90.18,Home,234,1,0,Scheduled,2026-12-27,2025-11-14 15:16:57.525726
ASG_001208,EMP_000938,FAM_001793,2024-01-11,Assigned,Right guy stock wrong unit.,3.91,Level 4,1.1,1,1,15,46.07,Home,22,16,0,Pending Review,2027-10-26,2025-11-14 15:16:57.525726
ASG_001209,EMP_000827,FAM_000353,2022-10-22,Completed,Represent turn happen health family every.,4.42,Level 4,45.82,10,19,80,21.71,Home,264,0,4,Completed,2026-05-03,2025-11-14 15:16:57.525726
ASG_001210,EMP_000900,FAM_001732,2016-08-10,Escalated,Grow week federal stage government enjoy pick meeting difficult.,2.14,Level 1,32.7,5,10,210,65.22,Center,300,8,5,Completed,2026-04-14,2025-11-14 15:16:57.525726
ASG_001211,EMP_000665,FAM_001217,2018-02-25,Assigned,Hear nature attorney economy better rule might.,1.33,Level 2,27.47,3,18,292,45.45,Center,32,8,3,Completed,2026-12-03,2025-11-14 15:16:57.525726
ASG_001212,EMP_001421,FAM_001670,2023-02-10,Assigned,Cold ground class easy follow big court than indicate.,2.1,Level 3,96.21,6,12,209,111.08,Center,268,5,3,Pending Review,2026-11-13,2025-11-14 15:16:57.525726
ASG_001213,EMP_000850,FAM_002528,2022-05-24,Assigned,Finish in alone product military reveal admit surface.,4.63,Level 2,90.6,7,17,19,51.18,Center,222,5,0,Scheduled,2026-08-20,2025-11-14 15:16:57.525726
ASG_001214,EMP_001166,FAM_001464,2021-01-28,Completed,Law serious gun live do sea religious.,1.08,Level 2,28.04,3,19,93,57.11,School,235,1,4,Pending Review,2026-11-02,2025-11-14 15:16:57.525726
ASG_001215,EMP_000642,FAM_000513,2022-02-13,Closed,Cover middle he bank environment popular forward author pattern window while.,1.61,Level 1,46.91,1,13,12,99.68,Home,218,5,0,Pending Review,2026-12-22,2025-11-14 15:16:57.525726
ASG_001216,EMP_000632,FAM_000596,2019-07-30,Completed,Beautiful than scene computer laugh red with put reach walk return.,1.52,Level 1,34.07,10,13,161,64.97,School,184,16,0,Scheduled,2027-01-14,2025-11-14 15:16:57.525726
ASG_001217,EMP_000258,FAM_002111,2025-08-24,Completed,Fast market hand industry why president.,4.41,Level 3,34.91,5,7,159,110.0,Center,102,10,1,Scheduled,2025-12-23,2025-11-14 15:16:57.525726
ASG_001218,EMP_000790,FAM_001144,2021-04-02,Closed,Loss even author impact service spend.,4.76,Level 1,54.25,1,1,53,94.6,Center,300,7,0,Pending Review,2025-11-29,2025-11-14 15:16:57.525726
ASG_001219,EMP_001181,FAM_001581,2025-01-10,Closed,East the democratic before investment rock.,1.48,Level 4,25.88,1,19,60,103.88,School,228,3,0,Pending Review,2027-05-06,2025-11-14 15:16:57.525726
ASG_001220,EMP_001120,FAM_002644,2023-03-05,Completed,Boy quickly include window toward condition.,3.16,Level 4,99.62,1,16,73,24.75,School,241,12,0,Scheduled,2026-05-31,2025-11-14 15:16:57.525726
ASG_001221,EMP_000115,FAM_001424,2024-07-29,Escalated,Heavy operation weight sometimes.,1.04,Level 1,42.85,1,2,248,101.27,Center,194,3,0,Completed,2027-07-09,2025-11-14 15:16:57.525726
ASG_001222,EMP_001392,FAM_001226,2016-03-04,Closed,Bank prepare over experience yourself know leader eight reason at.,3.07,Level 1,12.45,3,5,18,47.65,Home,136,0,0,Scheduled,2027-03-19,2025-11-14 15:16:57.525726
ASG_001223,EMP_001095,FAM_002114,2022-07-28,Assigned,Degree picture green instead onto key east environment enter single.,4.82,Level 1,2.83,8,19,242,37.06,Home,87,5,2,Completed,2027-10-28,2025-11-14 15:16:57.525726
ASG_001224,EMP_000577,FAM_002947,2018-07-28,Assigned,Again maintain color create these under deep.,4.38,Level 2,67.18,3,3,254,22.52,School,78,0,1,Completed,2026-03-27,2025-11-14 15:16:57.525726
ASG_001225,EMP_000609,FAM_000230,2017-10-08,Completed,Up movement message participant lot.,3.21,Level 1,73.51,2,12,10,29.45,School,155,5,0,Scheduled,2026-06-06,2025-11-14 15:16:57.525726
ASG_001226,EMP_001475,FAM_000399,2016-06-23,Escalated,Direction subject together either rest interesting.,3.24,Level 4,74.94,7,8,137,100.93,Center,169,20,1,Pending Review,2026-10-27,2025-11-14 15:16:57.525726
ASG_001227,EMP_000493,FAM_000909,2017-10-04,Assigned,Picture your buy high model discover inside yard.,3.27,Level 3,1.01,4,7,10,31.87,School,210,6,4,Pending Review,2027-06-21,2025-11-14 15:16:57.525726
ASG_001228,EMP_001286,FAM_000383,2017-06-02,Completed,Enter market include get discussion girl writer.,3.09,Level 1,52.9,2,18,272,92.27,Center,165,11,0,Completed,2027-05-15,2025-11-14 15:16:57.525726
ASG_001229,EMP_001037,FAM_001590,2016-01-20,Assigned,Arrive window common certainly high across system.,4.94,Level 1,18.16,10,2,67,36.21,School,231,16,5,Completed,2027-01-03,2025-11-14 15:16:57.525726
ASG_001230,EMP_000468,FAM_002365,2019-12-24,Escalated,Look game nothing seven it occur issue.,1.5,Level 1,27.46,9,6,57,74.6,School,198,15,5,Pending Review,2027-08-03,2025-11-14 15:16:57.525726
ASG_001231,EMP_001205,FAM_000654,2016-05-24,Escalated,Address feel worker economy point something next.,4.54,Level 2,8.98,10,16,37,58.83,School,27,11,3,Pending Review,2026-08-31,2025-11-14 15:16:57.525726
ASG_001232,EMP_001360,FAM_000600,2016-04-06,Completed,Step report last act institution nor officer with general.,1.63,Level 4,21.93,0,12,22,77.16,School,155,13,3,Completed,2027-06-20,2025-11-14 15:16:57.525726
ASG_001233,EMP_001266,FAM_002611,2021-10-24,Closed,Change suddenly exist itself those us.,4.56,Level 2,49.9,0,5,86,60.26,School,130,6,0,Pending Review,2027-09-03,2025-11-14 15:16:57.525726
ASG_001234,EMP_000603,FAM_000718,2023-12-19,Escalated,Chair which sound open impact green.,4.69,Level 1,88.65,10,11,177,82.67,Home,109,2,2,Pending Review,2026-10-29,2025-11-14 15:16:57.525726
ASG_001235,EMP_000280,FAM_001668,2024-05-08,Escalated,Far some board treatment result like everybody teacher.,1.62,Level 1,14.65,0,8,132,69.48,Center,289,10,5,Scheduled,2026-08-15,2025-11-14 15:16:57.525726
ASG_001236,EMP_001369,FAM_001816,2024-10-31,Assigned,Tax director true hand return above.,3.22,Level 1,48.65,5,20,33,48.62,Home,134,19,1,Scheduled,2027-07-25,2025-11-14 15:16:57.525726
ASG_001237,EMP_001131,FAM_000780,2024-07-24,Closed,Student maybe already himself culture yourself draw.,3.39,Level 4,9.64,6,6,178,59.13,Home,140,19,0,Pending Review,2027-07-07,2025-11-14 15:16:57.525726
ASG_001238,EMP_000149,FAM_002441,2018-08-17,Assigned,Sure firm huge either might stock.,3.51,Level 2,43.96,9,9,265,15.76,Home,98,6,2,Pending Review,2026-09-19,2025-11-14 15:16:57.525726
ASG_001239,EMP_000521,FAM_001343,2022-06-22,Closed,Must if head discussion soon TV truth grow.,1.57,Level 4,38.37,9,20,36,87.6,School,175,1,1,Scheduled,2027-03-21,2025-11-14 15:16:57.525726
ASG_001240,EMP_001422,FAM_002044,2024-09-20,Assigned,Religious by short ago show say idea.,2.55,Level 3,62.98,4,17,281,60.8,Center,55,1,3,Completed,2026-02-19,2025-11-14 15:16:57.525726
ASG_001241,EMP_000870,FAM_002029,2025-02-21,Assigned,People dog message over.,3.69,Level 3,36.08,7,7,55,99.7,Center,200,1,2,Completed,2026-04-29,2025-11-14 15:16:57.525726
ASG_001242,EMP_000384,FAM_001213,2023-03-25,Closed,Offer board position think themselves cause.,4.89,Level 1,98.57,7,1,296,116.04,School,269,4,4,Scheduled,2027-07-10,2025-11-14 15:16:57.525726
ASG_001243,EMP_000778,FAM_001489,2017-01-07,Escalated,Rise suddenly occur begin.,2.22,Level 4,90.34,10,14,135,103.0,Center,146,6,0,Scheduled,2026-12-17,2025-11-14 15:16:57.525726
ASG_001244,EMP_000702,FAM_001736,2024-06-05,Escalated,Arrive property hard cover office write computer fine much.,2.34,Level 1,60.22,5,0,144,63.66,Center,211,11,3,Completed,2026-10-04,2025-11-14 15:16:57.525726
ASG_001245,EMP_001316,FAM_000794,2024-07-21,Escalated,Pay how for provide arrive ability maybe tell.,4.69,Level 2,91.09,5,15,39,108.19,Home,80,7,3,Scheduled,2026-06-06,2025-11-14 15:16:57.525726
ASG_001246,EMP_000331,FAM_002285,2022-06-27,Assigned,Test man degree later weight role.,4.71,Level 4,36.41,6,13,15,53.7,Center,144,20,3,Completed,2025-12-07,2025-11-14 15:16:57.525726
ASG_001247,EMP_000090,FAM_002378,2023-07-26,Completed,One summer to member generation official majority.,4.77,Level 3,70.18,3,9,289,79.6,Center,181,3,3,Completed,2027-02-20,2025-11-14 15:16:57.525726
ASG_001248,EMP_001190,FAM_001604,2021-07-05,Escalated,Nature tough these receive realize close how recognize.,3.26,Level 3,40.57,4,14,13,76.67,School,38,0,2,Pending Review,2026-04-02,2025-11-14 15:16:57.525726
ASG_001249,EMP_001013,FAM_002163,2024-05-26,Assigned,While decision responsibility difficult focus nation entire magazine.,4.43,Level 4,29.2,9,20,164,88.33,School,174,13,5,Completed,2027-08-22,2025-11-14 15:16:57.525726
ASG_001250,EMP_000866,FAM_000257,2023-12-04,Completed,Must available person half detail worker need put ground onto.,3.09,Level 2,19.55,4,4,107,99.95,School,296,10,2,Scheduled,2027-01-09,2025-11-14 15:16:57.525726
ASG_001251,EMP_001215,FAM_002995,2023-08-11,Escalated,Machine reveal own station job car run.,1.74,Level 4,75.38,10,17,83,27.01,Home,27,7,2,Pending Review,2026-07-30,2025-11-14 15:16:57.525726
ASG_001252,EMP_000856,FAM_001726,2023-02-22,Escalated,Professor suggest enjoy claim role prepare pay certain day study.,1.38,Level 3,89.28,4,15,184,36.81,School,204,13,4,Completed,2027-06-26,2025-11-14 15:16:57.525726
ASG_001253,EMP_001422,FAM_001790,2022-05-17,Assigned,American foot natural keep let expert show.,1.21,Level 4,27.91,1,12,212,30.58,School,155,8,5,Completed,2026-05-11,2025-11-14 15:16:57.525726
ASG_001254,EMP_000431,FAM_001174,2020-09-02,Completed,Head point age more article whatever job stop site worker affect.,1.52,Level 4,77.54,3,18,228,32.35,Center,138,5,1,Completed,2026-03-03,2025-11-14 15:16:57.525726
ASG_001255,EMP_000331,FAM_000586,2016-10-21,Completed,Establish here we month book reality day group improve.,2.09,Level 4,66.5,2,4,213,21.07,Home,19,20,4,Pending Review,2027-01-07,2025-11-14 15:16:57.525726
ASG_001256,EMP_000209,FAM_000133,2024-05-06,Escalated,Perform economic chair mission business.,3.57,Level 4,83.35,0,11,250,101.1,Center,16,4,0,Completed,2027-06-05,2025-11-14 15:16:57.525726
ASG_001257,EMP_001136,FAM_001733,2019-04-22,Completed,Address year career your eat because each safe.,4.81,Level 4,4.57,3,13,112,75.36,Home,60,15,5,Scheduled,2026-04-04,2025-11-14 15:16:57.525726
ASG_001258,EMP_001399,FAM_000519,2025-05-14,Closed,Often figure answer take measure must catch.,1.99,Level 3,25.69,1,17,239,27.64,Home,56,3,0,Completed,2027-01-27,2025-11-14 15:16:57.525726
ASG_001259,EMP_000888,FAM_000778,2020-09-30,Assigned,Poor heart and which where.,3.09,Level 2,81.36,4,7,72,103.34,School,103,10,5,Pending Review,2027-11-06,2025-11-14 15:16:57.525726
ASG_001260,EMP_001036,FAM_001621,2019-08-23,Assigned,Look wear might skill upon.,3.81,Level 3,23.55,2,3,15,46.14,Home,192,0,3,Completed,2026-06-13,2025-11-14 15:16:57.525726
ASG_001261,EMP_000570,FAM_001118,2025-07-16,Assigned,Success best she similar single beautiful summer project.,2.54,Level 4,38.57,4,20,115,87.76,School,278,8,5,Pending Review,2026-11-15,2025-11-14 15:16:57.525726
ASG_001262,EMP_001384,FAM_000472,2020-01-19,Completed,Movie hundred successful Mr time ten.,2.86,Level 1,16.95,5,10,152,76.98,Center,184,2,1,Completed,2027-10-18,2025-11-14 15:16:57.525726
ASG_001263,EMP_000245,FAM_000018,2024-08-28,Assigned,Movement you southern mention he follow administration argue.,4.11,Level 2,62.81,4,19,86,108.3,Home,61,2,3,Pending Review,2027-09-14,2025-11-14 15:16:57.525726
ASG_001264,EMP_000011,FAM_000757,2023-10-20,Closed,Carry however kind front ever join between control either including.,3.36,Level 2,17.66,0,13,225,18.41,School,191,9,2,Pending Review,2027-11-11,2025-11-14 15:16:57.525726
ASG_001265,EMP_000976,FAM_002854,2024-12-31,Closed,Great future war above not name course.,1.5,Level 1,95.77,2,0,79,117.3,Center,242,6,1,Pending Review,2026-01-13,2025-11-14 15:16:57.525726
ASG_001266,EMP_000339,FAM_001399,2025-10-28,Closed,Join somebody else college drive television stop probably officer.,3.62,Level 3,53.73,7,19,206,96.22,Home,116,11,0,Scheduled,2026-07-14,2025-11-14 15:16:57.525726
ASG_001267,EMP_000519,FAM_001556,2024-05-30,Assigned,Mrs choice whose administration by figure.,3.42,Level 2,33.75,3,2,212,18.49,Center,250,6,3,Pending Review,2027-07-06,2025-11-14 15:16:57.525726
ASG_001268,EMP_000357,FAM_001903,2017-08-22,Assigned,Movie man example deep a heart marriage now under however.,2.1,Level 4,69.08,4,20,108,119.1,Home,258,18,3,Completed,2027-03-14,2025-11-14 15:16:57.525726
ASG_001269,EMP_001034,FAM_000086,2017-01-03,Assigned,From do imagine including.,3.17,Level 3,32.82,10,11,282,53.02,Home,113,7,3,Pending Review,2027-07-19,2025-11-14 15:16:57.525726
ASG_001270,EMP_000791,FAM_001149,2020-09-03,Escalated,Firm remain include century number environment.,3.47,Level 1,84.99,3,17,266,115.66,School,230,16,0,Pending Review,2027-02-03,2025-11-14 15:16:57.533824
ASG_001271,EMP_000105,FAM_002927,2022-12-30,Completed,Itself discussion house toward nature.,4.55,Level 1,76.52,5,18,174,76.98,Center,115,2,4,Completed,2026-03-22,2025-11-14 15:16:57.533824
ASG_001272,EMP_000569,FAM_001884,2016-01-09,Escalated,Market thus special plan military three whatever always front life fact.,1.34,Level 1,24.16,3,9,171,60.48,Home,92,20,2,Pending Review,2026-12-01,2025-11-14 15:16:57.533824
ASG_001273,EMP_001052,FAM_001169,2024-05-16,Closed,Camera argue trial dinner door run whole also economy.,1.03,Level 4,32.34,3,3,147,67.38,Center,42,7,4,Completed,2027-06-08,2025-11-14 15:16:57.533824
ASG_001274,EMP_000856,FAM_000495,2024-10-27,Completed,A turn nearly success teach little rule.,3.43,Level 4,50.49,1,20,41,20.74,Center,30,14,1,Scheduled,2027-01-09,2025-11-14 15:16:57.533824
ASG_001275,EMP_000712,FAM_001671,2025-07-26,Assigned,Trip what anyone risk investment nature lead possible matter community.,1.56,Level 3,14.59,8,17,177,23.41,Center,281,0,3,Scheduled,2027-02-03,2025-11-14 15:16:57.533824
ASG_001276,EMP_000262,FAM_001190,2023-08-20,Escalated,New out all enjoy single.,2.64,Level 2,54.88,10,0,184,30.65,Home,142,20,1,Completed,2027-10-10,2025-11-14 15:16:57.533824
ASG_001277,EMP_000458,FAM_001070,2021-08-17,Escalated,Impact fund strategy firm police the.,4.85,Level 2,87.4,6,8,254,81.73,School,197,3,3,Completed,2026-11-09,2025-11-14 15:16:57.533824
ASG_001278,EMP_000901,FAM_000204,2023-12-21,Escalated,Clearly act through ground step.,4.19,Level 2,17.4,7,11,296,19.15,Center,273,9,5,Pending Review,2025-12-10,2025-11-14 15:16:57.533824
ASG_001279,EMP_000870,FAM_001237,2019-01-15,Closed,Measure here suggest look why action happen building can cost.,4.42,Level 2,33.84,6,3,140,79.38,School,175,12,1,Completed,2026-11-14,2025-11-14 15:16:57.533824
ASG_001280,EMP_001339,FAM_001039,2025-03-28,Closed,Red city stage art red meeting.,2.26,Level 1,25.42,2,13,265,118.0,Home,20,8,2,Completed,2026-05-22,2025-11-14 15:16:57.533824
ASG_001281,EMP_000182,FAM_002949,2018-03-17,Escalated,Whole truth laugh challenge across year.,1.47,Level 2,56.64,5,0,161,54.54,Home,96,20,3,Pending Review,2026-11-04,2025-11-14 15:16:57.533824
ASG_001282,EMP_000129,FAM_000380,2019-02-18,Assigned,Bring language smile vote fine town off sort specific.,4.27,Level 2,27.9,9,11,70,82.19,Home,50,3,0,Completed,2027-08-20,2025-11-14 15:16:57.533824
ASG_001283,EMP_000285,FAM_001974,2021-08-18,Assigned,At mission night situation describe.,1.16,Level 2,10.08,0,20,163,86.08,Center,43,17,2,Scheduled,2027-09-19,2025-11-14 15:16:57.533824
ASG_001284,EMP_000496,FAM_001559,2025-08-24,Assigned,Computer discussion specific international group push.,1.48,Level 4,74.64,2,15,77,115.81,Center,223,18,2,Completed,2026-11-25,2025-11-14 15:16:57.533824
ASG_001285,EMP_001294,FAM_001554,2019-10-13,Closed,Right community them smile long.,2.7,Level 4,11.04,1,8,242,26.81,Home,148,17,2,Completed,2027-05-25,2025-11-14 15:16:57.533824
ASG_001286,EMP_000445,FAM_000539,2024-04-07,Closed,Pattern major force dream.,4.5,Level 4,21.1,9,5,164,11.89,Center,211,16,3,Completed,2026-01-18,2025-11-14 15:16:57.533824
ASG_001287,EMP_000096,FAM_002785,2016-07-16,Completed,Particular remain today place some nearly professor.,2.32,Level 4,42.0,6,6,213,34.67,Center,295,14,5,Scheduled,2026-09-10,2025-11-14 15:16:57.533824
ASG_001288,EMP_000736,FAM_001825,2016-04-12,Closed,Side movement party research participant.,2.08,Level 3,2.63,2,9,44,37.28,Home,8,1,4,Scheduled,2026-03-28,2025-11-14 15:16:57.533824
ASG_001289,EMP_000359,FAM_002112,2016-11-07,Closed,Piece finish sit so soldier.,4.19,Level 3,2.66,9,5,174,103.02,Home,153,5,3,Scheduled,2026-10-03,2025-11-14 15:16:57.533824
ASG_001290,EMP_001273,FAM_001682,2024-10-28,Escalated,Visit speech wrong nothing argue change camera represent.,4.64,Level 2,73.85,3,10,139,13.97,Home,17,15,2,Pending Review,2026-04-29,2025-11-14 15:16:57.533824
ASG_001291,EMP_000529,FAM_001885,2022-05-28,Completed,But image before try really gun teacher prepare determine yes which.,2.12,Level 1,66.36,6,17,143,116.41,Home,37,2,0,Completed,2026-12-28,2025-11-14 15:16:57.533824
ASG_001292,EMP_000585,FAM_001754,2017-06-24,Assigned,Kitchen art time night federal major indicate dark firm until.,1.11,Level 3,34.8,6,19,51,105.34,Center,113,4,1,Pending Review,2027-06-12,2025-11-14 15:16:57.533824
ASG_001293,EMP_001127,FAM_000376,2022-04-24,Closed,Must information business affect poor particularly newspaper who.,4.74,Level 2,67.66,6,20,221,71.83,Center,171,9,3,Completed,2027-09-22,2025-11-14 15:16:57.533824
ASG_001294,EMP_001356,FAM_001313,2021-10-19,Completed,Management fund return water property investment art usually.,3.33,Level 3,36.59,6,4,85,85.32,School,93,13,1,Pending Review,2026-06-01,2025-11-14 15:16:57.533824
ASG_001295,EMP_000224,FAM_002947,2016-08-26,Closed,Learn Mrs help threat market unit eye.,1.5,Level 1,84.6,2,17,131,50.38,School,228,0,1,Completed,2027-04-18,2025-11-14 15:16:57.533824
ASG_001296,EMP_000160,FAM_002029,2021-07-28,Assigned,Low on range party career easy share game music environmental.,2.88,Level 2,4.77,1,4,63,41.27,Home,280,6,2,Scheduled,2026-05-02,2025-11-14 15:16:57.533824
ASG_001297,EMP_001104,FAM_002559,2016-12-24,Completed,Stock beat method here glass listen home.,3.37,Level 4,68.57,9,3,218,105.68,Home,117,8,3,Completed,2026-05-05,2025-11-14 15:16:57.533824
ASG_001298,EMP_000728,FAM_000951,2017-01-20,Assigned,Least eye floor according center main in throw.,3.86,Level 2,85.8,1,17,93,45.58,School,44,12,1,Pending Review,2027-01-02,2025-11-14 15:16:57.533824
ASG_001299,EMP_001218,FAM_000681,2024-10-28,Assigned,Plan impact let present inside suffer probably training.,4.18,Level 4,26.46,8,5,294,58.79,School,224,7,2,Completed,2026-02-28,2025-11-14 15:16:57.533824
ASG_001300,EMP_001056,FAM_001591,2019-06-24,Assigned,Usually activity study treatment allow forward.,4.52,Level 2,16.89,1,7,29,63.42,School,83,15,5,Completed,2026-10-12,2025-11-14 15:16:57.533824
ASG_001301,EMP_001377,FAM_001473,2023-11-06,Closed,Young suddenly season fine use population throughout artist.,2.03,Level 2,22.91,2,20,97,20.9,Home,80,15,1,Pending Review,2026-06-20,2025-11-14 15:16:57.533824
ASG_001302,EMP_001089,FAM_000722,2018-05-02,Assigned,Respond strategy see write north condition.,1.15,Level 4,49.48,3,19,67,44.16,Center,156,17,3,Completed,2027-04-02,2025-11-14 15:16:57.533824
ASG_001303,EMP_000805,FAM_002991,2016-01-04,Assigned,Among sure could kid customer.,2.27,Level 2,98.13,8,10,168,115.27,Home,137,3,5,Pending Review,2026-05-31,2025-11-14 15:16:57.533824
ASG_001304,EMP_000430,FAM_002255,2018-07-04,Assigned,Perhaps leave model girl similar sit then shoulder project.,1.1,Level 3,4.59,1,3,251,113.11,Home,258,14,5,Completed,2025-12-27,2025-11-14 15:16:57.533824
ASG_001305,EMP_001244,FAM_000112,2016-08-17,Escalated,Term moment computer drop here authority raise direction watch.,1.94,Level 2,99.81,2,10,206,119.11,School,205,11,0,Pending Review,2026-02-07,2025-11-14 15:16:57.533824
ASG_001306,EMP_000566,FAM_000662,2018-08-17,Completed,Price people response too successful.,1.5,Level 4,8.63,3,17,247,76.17,School,112,0,5,Completed,2027-08-26,2025-11-14 15:16:57.533824
ASG_001307,EMP_000433,FAM_001467,2018-09-25,Escalated,Fund mission collection participant need test.,2.87,Level 1,18.6,9,20,203,24.95,Home,291,16,5,Scheduled,2027-03-09,2025-11-14 15:16:57.533824
ASG_001308,EMP_000341,FAM_001619,2019-01-13,Closed,Difference low allow forget most.,4.26,Level 4,43.01,8,17,62,56.03,Home,119,18,5,Completed,2027-08-16,2025-11-14 15:16:57.533824
ASG_001309,EMP_001063,FAM_001910,2017-12-01,Assigned,Mean him forget position I.,1.18,Level 4,76.04,10,12,256,49.14,Home,227,2,5,Scheduled,2027-10-30,2025-11-14 15:16:57.533824
ASG_001310,EMP_000673,FAM_001864,2016-06-11,Assigned,Check school may fish nation.,4.8,Level 1,2.31,2,2,178,66.93,Center,43,3,0,Pending Review,2027-01-25,2025-11-14 15:16:57.533824
ASG_001311,EMP_001409,FAM_001589,2016-11-06,Assigned,Home single difficult such official up often city society.,1.3,Level 1,33.06,0,19,162,76.69,Home,48,16,2,Scheduled,2027-10-27,2025-11-14 15:16:57.533824
ASG_001312,EMP_001349,FAM_002743,2021-12-06,Completed,This health forward black order role show take.,2.89,Level 2,33.48,2,8,186,40.34,Center,54,10,1,Completed,2026-02-08,2025-11-14 15:16:57.533824
ASG_001313,EMP_000616,FAM_000263,2022-01-26,Completed,Help hear land me manage now.,3.42,Level 3,48.62,7,2,260,96.83,School,198,12,0,Scheduled,2025-11-28,2025-11-14 15:16:57.533824
ASG_001314,EMP_001301,FAM_000743,2023-01-16,Escalated,High quality soldier management state leader.,2.31,Level 3,88.46,1,1,141,66.28,School,296,20,5,Pending Review,2027-10-26,2025-11-14 15:16:57.533824
ASG_001315,EMP_000769,FAM_001104,2021-06-17,Closed,Test future after often account usually carry individual thousand present.,4.97,Level 1,58.45,0,5,183,90.19,Center,284,1,3,Scheduled,2027-08-21,2025-11-14 15:16:57.533824
ASG_001316,EMP_000517,FAM_000176,2020-02-15,Assigned,Tax yes smile operation only.,4.36,Level 2,76.92,8,1,150,29.74,Home,80,16,4,Scheduled,2026-04-29,2025-11-14 15:16:57.533824
ASG_001317,EMP_000811,FAM_000236,2022-12-09,Assigned,Hospital hot operation performance may worry now fear.,1.49,Level 1,17.25,5,17,94,15.78,Home,7,0,3,Pending Review,2026-04-13,2025-11-14 15:16:57.533824
ASG_001318,EMP_000086,FAM_001630,2019-09-04,Closed,Month window may test four blue head here cold difference.,3.79,Level 4,2.81,5,15,65,76.79,Home,83,9,3,Pending Review,2026-06-08,2025-11-14 15:16:57.533824
ASG_001319,EMP_001209,FAM_000205,2018-04-24,Completed,Us week hair determine economic just article your really billion.,4.25,Level 1,95.52,10,14,216,91.12,Home,212,18,3,Pending Review,2026-11-09,2025-11-14 15:16:57.533824
